latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.61828,83.18742,338.12,0.58,0.52,2025-04-10,0706,N20,VIIRS,n,2,294.74,6.97,D,0
19.25887,81.21397,352.52,0.39,0.6,2025-04-10,0706,N20,VIIRS,n,2,302.19,7.06,D,0
19.26424,81.21274,367,0.39,0.6,2025-04-10,0706,N20,VIIRS,h,2,306.31,18.57,D,0
19.26502,81.21647,338.02,0.39,0.6,2025-04-10,0706,N20,VIIRS,n,2,299.7,12.35,D,0
19.26348,81.20913,331.99,0.39,0.6,2025-04-10,0706,N20,VIIRS,n,2,299.58,18.57,D,0
19.30561,81.38348,335.65,0.38,0.59,2025-04-10,0706,N20,VIIRS,n,2,298.95,3.69,D,0
19.65361,82.99281,341.99,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,302.98,8.66,D,0
19.89912,84.21125,331.62,0.49,0.49,2025-04-10,0706,N20,VIIRS,n,2,300.41,2.02,D,0
19.66202,82.98499,338.2,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,303.39,4.22,D,0
20.10223,85.27699,334.36,0.42,0.45,2025-04-10,0706,N20,VIIRS,n,2,297.61,3.34,D,0
19.66426,82.94563,342.3,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,303.3,9.7,D,0
19.65908,82.9961,332.9,0.59,0.53,2025-04-10,0706,N20,VIIRS,l,2,303.19,6.07,D,0
19.11583,80.4469,334.22,0.44,0.63,2025-04-10,0706,N20,VIIRS,n,2,301.75,1.72,D,0
19.66478,82.95089,332.69,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,300.05,6.77,D,0
19.66346,82.94441,340.11,0.6,0.53,2025-04-10,0706,N20,VIIRS,n,2,303.13,6.77,D,0
19.19627,80.59875,336.99,0.43,0.62,2025-04-10,0706,N20,VIIRS,n,2,301.68,2.49,D,0
19.19835,80.5813,367,0.43,0.62,2025-04-10,0706,N20,VIIRS,h,2,302.45,11.94,D,0
19.19747,80.57725,354.45,0.43,0.62,2025-04-10,0706,N20,VIIRS,n,2,304.02,11.79,D,0
19.31024,81.07468,333.94,0.4,0.6,2025-04-10,0706,N20,VIIRS,n,2,299.97,3.22,D,0
19.30625,81.05599,343.29,0.4,0.6,2025-04-10,0706,N20,VIIRS,n,2,300.14,4.22,D,0
19.30545,81.05228,337.49,0.4,0.6,2025-04-10,0706,N20,VIIRS,n,2,301.53,4.22,D,0
19.20394,80.58002,331.11,0.43,0.62,2025-04-10,0706,N20,VIIRS,n,2,301.71,2.71,D,0
19.8886,83.87732,330.79,0.51,0.5,2025-04-10,0706,N20,VIIRS,n,2,301.13,1.5,D,0
19.7205,83.02947,332.09,0.59,0.53,2025-04-10,0706,N20,VIIRS,l,2,302.33,4.39,D,0
19.71848,83.01941,350.35,0.59,0.53,2025-04-10,0706,N20,VIIRS,n,2,304.19,25.66,D,0
19.31367,81.03747,367,0.4,0.6,2025-04-10,0706,N20,VIIRS,h,2,301.81,8.15,D,0
19.2151,80.57737,354.03,0.43,0.62,2025-04-10,0706,N20,VIIRS,n,2,303.21,7.48,D,0
19.31999,81.04049,367,0.4,0.6,2025-04-10,0706,N20,VIIRS,h,2,299.79,17.55,D,0
19.31913,81.03642,332.61,0.4,0.6,2025-04-10,0706,N20,VIIRS,n,2,300.36,8.15,D,0
19.89247,83.8252,336.68,0.52,0.5,2025-04-10,0706,N20,VIIRS,n,2,303.95,3.36,D,0
19.27996,80.74409,332.02,0.42,0.61,2025-04-10,0706,N20,VIIRS,n,2,298.6,2.04,D,0
19.26583,80.59541,333.11,0.43,0.62,2025-04-10,0706,N20,VIIRS,n,2,301.72,4.73,D,0
19.26415,80.5875,340.29,0.43,0.62,2025-04-10,0706,N20,VIIRS,n,2,302.64,5.53,D,0
19.26184,80.58843,337.14,0.43,0.62,2025-04-10,0706,N20,VIIRS,n,2,302.62,2.69,D,0
19.26097,80.58447,334.66,0.43,0.62,2025-04-10,0706,N20,VIIRS,n,2,303.03,2.69,D,0
20.0101,84.03567,339.43,0.5,0.49,2025-04-10,0706,N20,VIIRS,n,2,302.99,4.78,D,0
20.18458,84.82484,353.83,0.44,0.46,2025-04-10,0706,N20,VIIRS,n,2,302.7,8.9,D,0
19.97517,83.66637,334.43,0.53,0.5,2025-04-10,0706,N20,VIIRS,n,2,301.05,10.11,D,0
19.74888,82.45406,343.15,0.32,0.55,2025-04-10,0706,N20,VIIRS,n,2,304.5,3.36,D,0
19.4923,81.15408,331.28,0.39,0.6,2025-04-10,0706,N20,VIIRS,n,2,300.59,2.22,D,0
19.83871,82.51012,331.16,0.63,0.54,2025-04-10,0706,N20,VIIRS,l,2,305.41,1.07,D,0
19.34289,80.13496,331.56,0.46,0.64,2025-04-10,0706,N20,VIIRS,n,2,300.84,2.73,D,0
19.34862,80.13367,334.29,0.46,0.64,2025-04-10,0706,N20,VIIRS,n,2,303.05,2.66,D,0
20.09365,83.49407,338.95,0.54,0.51,2025-04-10,0706,N20,VIIRS,n,2,301.77,7.3,D,0
20.52799,85.78123,333.56,0.38,0.43,2025-04-10,0706,N20,VIIRS,n,2,300.85,3.92,D,0
20.09313,83.4955,335.91,0.54,0.51,2025-04-10,0706,N20,VIIRS,n,2,301.89,5.12,D,0
19.933,82.41296,330.51,0.32,0.54,2025-04-10,0706,N20,VIIRS,l,2,305.29,2.68,D,0
19.31695,79.4104,333.84,0.51,0.66,2025-04-10,0706,N20,VIIRS,n,2,300.58,3.63,D,0
20.21876,83.57764,333.38,0.53,0.5,2025-04-10,0706,N20,VIIRS,n,2,300.12,5.47,D,0
20.21867,83.57549,334.55,0.53,0.5,2025-04-10,0706,N20,VIIRS,n,2,300.41,6.86,D,0
20.51923,84.998,331.77,0.43,0.46,2025-04-10,0706,N20,VIIRS,l,2,301.96,5.09,D,0
