system:index,confidence,date,.geo
2024240,-9999,2024-08-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024241,-9999,2024-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024242,-9999,2024-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024243,-9999,2024-08-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024244,-9999,2024-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024245,-9999,2024-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024246,-9999,2024-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024247,-9999,2024-09-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024248,-9999,2024-09-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024249,-9999,2024-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024250,-9999,2024-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024251,-9999,2024-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024252,-9999,2024-09-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024253,-9999,2024-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024254,-9999,2024-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024255,-9999,2024-09-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024256,-9999,2024-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024257,-9999,2024-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024258,-9999,2024-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024259,-9999,2024-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024260,-9999,2024-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024261,-9999,2024-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024262,-9999,2024-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024263,-9999,2024-09-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024264,-9999,2024-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024265,-9999,2024-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024266,-9999,2024-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024267,-9999,2024-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024268,-9999,2024-09-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024269,-9999,2024-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024270,-9999,2024-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024271,-9999,2024-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024272,-9999,2024-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024273,-9999,2024-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024274,-9999,2024-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024275,-9999,2024-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024276,-9999,2024-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024277,-9999,2024-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024278,-9999,2024-10-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024279,-9999,2024-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024280,-9999,2024-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024281,-9999,2024-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024282,-9999,2024-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024283,-9999,2024-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024284,-9999,2024-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024285,-9999,2024-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024286,-9999,2024-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024287,-9999,2024-10-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024288,-9999,2024-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024289,-9999,2024-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024290,-9999,2024-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024291,-9999,2024-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024292,-9999,2024-10-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024293,-9999,2024-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024294,-9999,2024-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024295,-9999,2024-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024296,-9999,2024-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024297,-9999,2024-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024298,-9999,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024299,-9999,2024-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024300,-9999,2024-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024301,-9999,2024-10-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024302,-9999,2024-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024303,-9999,2024-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024304,-9999,2024-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024305,-9999,2024-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024306,-9999,2024-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024307,-9999,2024-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024308,-9999,2024-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024309,-9999,2024-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024310,-9999,2024-11-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024311,-9999,2024-11-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024312,-9999,2024-11-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024313,-9999,2024-11-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024314,-9999,2024-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024315,-9999,2024-11-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024316,-9999,2024-11-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024317,-9999,2024-11-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024318,-9999,2024-11-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024319,-9999,2024-11-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024320,-9999,2024-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024321,-9999,2024-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024322,-9999,2024-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
