valid_time,latitude,longitude,2m_temperature_c,2m_dewpoint_temperature_c,relative_humidity_percent,wind_speed_kmh,total_precipitation_mm
2025-07-26 00:00:00,11.400000000000002,77.0,21.024078,20.838531,98.865845,0.56684625,12.600332
2025-07-26 00:00:00,11.300000000000002,75.79999999999995,24.377594,23.43814,94.50933,15.363514,40.370255
2025-07-26 00:00:00,11.300000000000002,75.89999999999995,24.463531,23.701813,95.53019,10.989799,40.628998
2025-07-26 00:00:00,11.300000000000002,75.99999999999994,23.471344,22.926422,96.76057,7.131028,44.478
2025-07-26 00:00:00,11.300000000000002,76.09999999999994,22.233063,21.879547,97.86824,4.453426,47.05885
2025-07-26 00:00:00,11.300000000000002,76.19999999999993,22.88736,22.692047,98.82305,2.2936006,45.439003
2025-07-26 00:00:00,11.300000000000002,76.29999999999993,23.111969,23.01236,99.39925,3.0959759,40.820152
2025-07-26 00:00:00,11.300000000000002,76.39999999999992,20.748688,20.547516,98.76828,5.143237,35.265087
2025-07-26 00:00:00,11.300000000000002,76.49999999999991,16.039703,15.7916565,98.428,6.4200287,26.811659
2025-07-26 00:00:00,11.300000000000002,76.59999999999991,15.188141,14.955719,98.51671,6.394466,19.188046
2025-07-26 00:00:00,11.300000000000002,76.6999999999999,17.2565,16.994781,98.35734,5.897519,11.4929085
2025-07-26 00:00:00,11.300000000000002,76.7999999999999,19.436188,19.129547,98.10928,5.048189,5.81795
2025-07-26 00:00:00,11.300000000000002,76.89999999999989,21.008453,20.869781,99.1512,1.9589549,9.515643
2025-07-26 00:00:00,11.300000000000002,77.0,22.383453,22.201813,98.9009,0.97354805,11.743337
2025-07-26 00:00:00,11.200000000000003,75.79999999999995,24.35025,23.242828,93.55467,15.562863,34.95282
2025-07-26 00:00:00,11.200000000000003,75.89999999999995,24.295563,23.309235,94.23898,11.795224,33.60349
2025-07-26 00:00:00,11.200000000000003,75.99999999999994,23.770172,23.018219,95.56387,8.127801,39.240837
2025-07-26 00:00:00,11.200000000000003,76.09999999999994,23.201813,22.682281,96.90327,6.1035733,47.373413
2025-07-26 00:00:00,11.200000000000003,76.19999999999993,23.311188,23.027985,98.30275,3.8991876,48.820793
2025-07-26 00:00:00,11.200000000000003,76.29999999999993,22.76236,22.479156,98.295784,4.66462,44.540257
2025-07-26 00:00:00,11.200000000000003,76.39999999999992,19.891266,19.555328,97.93738,5.8483825,35.55
2025-07-26 00:00:00,11.200000000000003,76.49999999999991,16.904938,16.529938,97.64741,6.796141,26.21904
2025-07-26 00:00:00,11.200000000000003,76.59999999999991,18.149078,17.899078,98.441,6.5436053,19.125223
2025-07-26 00:00:00,11.200000000000003,76.6999999999999,20.940094,20.742828,98.79385,6.187618,11.998534
2025-07-26 00:00:00,11.200000000000003,76.7999999999999,22.23111,22.026031,98.758415,5.1907206,6.6605806
2025-07-26 00:00:00,11.200000000000003,76.89999999999989,22.25064,22.110016,99.14729,3.815046,8.794695
2025-07-26 00:00:00,11.200000000000003,77.0,22.2565,21.940094,98.09047,5.752186,7.6462927
2025-07-26 00:00:00,11.100000000000003,75.89999999999995,24.492828,23.311188,93.1431,12.79177,27.981043
2025-07-26 00:00:00,11.100000000000003,75.99999999999994,23.983063,23.014313,94.32615,9.158429,33.52797
2025-07-26 00:00:00,11.100000000000003,76.09999999999994,23.455719,22.738922,95.75758,7.423649,42.967407
2025-07-26 00:00:00,11.100000000000003,76.19999999999993,23.463531,22.961578,97.01247,6.184548,49.98061
2025-07-26 00:00:00,11.100000000000003,76.29999999999993,23.090485,22.676422,97.52301,5.7113695,45.02979
2025-07-26 00:00:00,11.100000000000003,76.39999999999992,21.057281,20.617828,97.33278,6.4082007,35.282135
2025-07-26 00:00:00,11.100000000000003,76.49999999999991,19.53775,19.078766,97.18382,7.4030004,25.630205
2025-07-26 00:00:00,11.100000000000003,76.59999999999991,20.453766,20.119781,97.95793,6.7248435,18.848598
2025-07-26 00:00:00,11.100000000000003,76.6999999999999,21.154938,20.944,98.71279,6.415211,12.163281
