latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
66.59672,155.32423,338.74,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,296.44,19.16,D
66.5978,155.31024,367.0,0.43,0.46,2025-07-31,35,N20,VIIRS,h,2.0NRT,353.87,246.2,D
66.59887,155.29617,343.46,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,295.05,246.2,D
66.60011,155.31792,347.57,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,294.16,79.37,D
66.6012,155.30388,352.38,0.43,0.46,2025-07-31,35,N20,VIIRS,n,2.0NRT,294.46,246.2,D
67.95583,157.76602,351.42,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,303.5,9.94,D
67.95631,157.75002,338.32,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,301.87,9.94,D
67.95678,157.73401,339.14,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,302.96,10.74,D
67.95854,157.77635,353.7,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,311.49,31.62,D
67.95899,157.76027,350.1,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,307.16,9.94,D
67.95947,157.74429,331.28,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,304.43,6.29,D
67.96214,157.75455,335.06,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,305.56,6.29,D
67.96573,157.73267,340.5,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,306.28,299.11,D
67.96615,157.71643,332.32,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,307.09,11.02,D
67.96796,157.75905,352.95,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,307.14,11.69,D
67.96842,157.743,342.89,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,312.63,299.11,D
